Sheet,Cell,Value,Formula
Calculation Debt,D44,=Summary!D10+Summary!H10+Summary!M9+Summary!W7+Summary!AB7+Summary!AG7+Summary!AL7+Summary!AQ7+Summary!AV7+Summary!BA7+Summary!BF7+Summary!BK7+Summary!AQ14+Summary!AV14+Summary!BA14+Summary!BF14+Summary!BK14+Summary!W14+Summary!AB14+Summary!AG14+Summary!AL14,=Summary!D10+Summary!H10+Summary!M9+Summary!W7+Summary!AB7+Summary!AG7+Summary!AL7+Summary!AQ7+Summary!AV7+Summary!BA7+Summary!BF7+Summary!BK7+Summary!AQ14+Summary!AV14+Summary!BA14+Summary!BF14+Summary!BK14+Summary!W14+Summary!AB14+Summary!AG14+Summary!AL14
Calculation Debt,E44,=('Calculation Debt'!D44-'Calculation Debt'!D44*($C$10))*(E$42<=$C$19),=('Calculation Debt'!D44-'Calculation Debt'!D44*($C$10))*(E$42<=$C$19)
Calculation Debt,F44,=(E44-E44*($C$10))*(F$42<=$C$19),=(E44-E44*($C$10))*(F$42<=$C$19)
Calculation Debt,G44,=(F44-F44*($C$10))*(G$42<=$C$19),=(F44-F44*($C$10))*(G$42<=$C$19)
Calculation Debt,H44,=(G44-G44*($C$10))*(H$42<=$C$19),=(G44-G44*($C$10))*(H$42<=$C$19)
Calculation Debt,I44,=(H44-H44*($C$10))*(I$42<=$C$19),=(H44-H44*($C$10))*(I$42<=$C$19)
Calculation Debt,J44,=(I44-I44*($C$10))*(J$42<=$C$19),=(I44-I44*($C$10))*(J$42<=$C$19)
Calculation Debt,K44,=(J44-J44*($C$10))*(K$42<=$C$19),=(J44-J44*($C$10))*(K$42<=$C$19)
Calculation Debt,L44,=(K44-K44*($C$10))*(L$42<=$C$19),=(K44-K44*($C$10))*(L$42<=$C$19)
Calculation Debt,M44,=(L44-L44*($C$10))*(M$42<=$C$19),=(L44-L44*($C$10))*(M$42<=$C$19)
Calculation Debt,N44,=(M44-M44*($C$10))*(N$42<=$C$19),=(M44-M44*($C$10))*(N$42<=$C$19)
Calculation Debt,O44,=(N44-N44*($C$10))*(O$42<=$C$19),=(N44-N44*($C$10))*(O$42<=$C$19)
Calculation Debt,P44,=(O44-O44*($C$10))*(P$42<=$C$19),=(O44-O44*($C$10))*(P$42<=$C$19)
Calculation Debt,Q44,=(P44-P44*($C$10))*(Q$42<=$C$19),=(P44-P44*($C$10))*(Q$42<=$C$19)
Calculation Debt,R44,=(Q44-Q44*($C$10))*(R$42<=$C$19),=(Q44-Q44*($C$10))*(R$42<=$C$19)
Calculation Debt,S44,=(R44-R44*($C$10))*(S$42<=$C$19),=(R44-R44*($C$10))*(S$42<=$C$19)
Calculation Debt,T44,=(S44-S44*($C$10))*(T$42<=$C$19),=(S44-S44*($C$10))*(T$42<=$C$19)
Calculation Debt,U44,=(T44-T44*($C$10))*(U$42<=$C$19),=(T44-T44*($C$10))*(U$42<=$C$19)
Calculation Debt,V44,=(U44-U44*($C$10))*(V$42<=$C$19),=(U44-U44*($C$10))*(V$42<=$C$19)
Calculation Debt,W44,=(V44-V44*($C$10))*(W$42<=$C$19),=(V44-V44*($C$10))*(W$42<=$C$19)
Calculation Debt,X44,=(W44-W44*($C$10))*(X$42<=$C$19),=(W44-W44*($C$10))*(X$42<=$C$19)
Calculation Debt,Y44,=(X44-X44*($C$10))*(Y$42<=$C$19),=(X44-X44*($C$10))*(Y$42<=$C$19)
Calculation Debt,Z44,=(Y44-Y44*($C$10))*(Z$42<=$C$19),=(Y44-Y44*($C$10))*(Z$42<=$C$19)
Calculation Debt,AA44,=(Z44-Z44*($C$10))*(AA$42<=$C$19),=(Z44-Z44*($C$10))*(AA$42<=$C$19)
Calculation Debt,AB44,=(AA44-AA44*($C$10))*(AB$42<=$C$19),=(AA44-AA44*($C$10))*(AB$42<=$C$19)
Calculation Debt,B45,Self consumed kWh,
Calculation Debt,D45,='Calculation Debt'!$D$44*$C$6*(D$42<=$C$19),='Calculation Debt'!$D$44*$C$6*(D$42<=$C$19)
Calculation Debt,E45,='Calculation Debt'!$D$44*$C$6*(E$42<=$C$19),='Calculation Debt'!$D$44*$C$6*(E$42<=$C$19)
Calculation Debt,F45,='Calculation Debt'!$D$44*$C$6*(F$42<=$C$19),='Calculation Debt'!$D$44*$C$6*(F$42<=$C$19)
Calculation Debt,G45,='Calculation Debt'!$D$44*$C$6*(G$42<=$C$19),='Calculation Debt'!$D$44*$C$6*(G$42<=$C$19)
Calculation Debt,H45,='Calculation Debt'!$D$44*$C$6*(H$42<=$C$19),='Calculation Debt'!$D$44*$C$6*(H$42<=$C$19)
Calculation Debt,I45,='Calculation Debt'!$D$44*$C$6*(I$42<=$C$19),='Calculation Debt'!$D$44*$C$6*(I$42<=$C$19)
Calculation Debt,J45,='Calculation Debt'!$D$44*$C$6*(J$42<=$C$19),='Calculation Debt'!$D$44*$C$6*(J$42<=$C$19)
Calculation Debt,K45,='Calculation Debt'!$D$44*$C$6*(K$42<=$C$19),='Calculation Debt'!$D$44*$C$6*(K$42<=$C$19)
Calculation Debt,L45,='Calculation Debt'!$D$44*$C$6*(L$42<=$C$19),='Calculation Debt'!$D$44*$C$6*(L$42<=$C$19)
Calculation Debt,M45,='Calculation Debt'!$D$44*$C$6*(M$42<=$C$19),='Calculation Debt'!$D$44*$C$6*(M$42<=$C$19)
Calculation Debt,N45,='Calculation Debt'!$D$44*$C$6*(N$42<=$C$19),='Calculation Debt'!$D$44*$C$6*(N$42<=$C$19)
Calculation Debt,O45,='Calculation Debt'!$D$44*$C$6*(O$42<=$C$19),='Calculation Debt'!$D$44*$C$6*(O$42<=$C$19)
Calculation Debt,P45,='Calculation Debt'!$D$44*$C$6*(P$42<=$C$19),='Calculation Debt'!$D$44*$C$6*(P$42<=$C$19)
Calculation Debt,Q45,='Calculation Debt'!$D$44*$C$6*(Q$42<=$C$19),='Calculation Debt'!$D$44*$C$6*(Q$42<=$C$19)
Calculation Debt,R45,='Calculation Debt'!$D$44*$C$6*(R$42<=$C$19),='Calculation Debt'!$D$44*$C$6*(R$42<=$C$19)
Calculation Debt,S45,='Calculation Debt'!$D$44*$C$6*(S$42<=$C$19),='Calculation Debt'!$D$44*$C$6*(S$42<=$C$19)
Calculation Debt,T45,='Calculation Debt'!$D$44*$C$6*(T$42<=$C$19),='Calculation Debt'!$D$44*$C$6*(T$42<=$C$19)
Calculation Debt,U45,='Calculation Debt'!$D$44*$C$6*(U$42<=$C$19),='Calculation Debt'!$D$44*$C$6*(U$42<=$C$19)
Calculation Debt,V45,='Calculation Debt'!$D$44*$C$6*(V$42<=$C$19),='Calculation Debt'!$D$44*$C$6*(V$42<=$C$19)
Calculation Debt,W45,='Calculation Debt'!$D$44*$C$6*(W$42<=$C$19),='Calculation Debt'!$D$44*$C$6*(W$42<=$C$19)
Calculation Debt,X45,='Calculation Debt'!$D$44*$C$6*(X$42<=$C$19),='Calculation Debt'!$D$44*$C$6*(X$42<=$C$19)
Calculation Debt,Y45,='Calculation Debt'!$D$44*$C$6*(Y$42<=$C$19),='Calculation Debt'!$D$44*$C$6*(Y$42<=$C$19)
Calculation Debt,Z45,='Calculation Debt'!$D$44*$C$6*(Z$42<=$C$19),='Calculation Debt'!$D$44*$C$6*(Z$42<=$C$19)
Calculation Debt,AA45,='Calculation Debt'!$D$44*$C$6*(AA$42<=$C$19),='Calculation Debt'!$D$44*$C$6*(AA$42<=$C$19)
Calculation Debt,AB45,='Calculation Debt'!$D$44*$C$6*(AB$42<=$C$19),='Calculation Debt'!$D$44*$C$6*(AB$42<=$C$19)
Calculation Debt,B46,Self consumption %,
Calculation Debt,D46,"=MIN(IFERROR(D45/E44,0),100%)*(D$42<=$C$19)","=MIN(IFERROR(D45/E44,0),100%)*(D$42<=$C$19)"
Calculation Debt,E46,"=MIN(IFERROR(E45/E44,0),100%)*(E$42<=$C$19)","=MIN(IFERROR(E45/E44,0),100%)*(E$42<=$C$19)"
Calculation Debt,F46,"=MIN(IFERROR(F45/F44,0),100%)*(F$42<=$C$19)","=MIN(IFERROR(F45/F44,0),100%)*(F$42<=$C$19)"
Calculation Debt,G46,"=MIN(IFERROR(G45/G44,0),100%)*(G$42<=$C$19)","=MIN(IFERROR(G45/G44,0),100%)*(G$42<=$C$19)"
